,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
76,Wake Up Stand Up - Kai Alce KZR Vocal Mix,DJ Kemit Presents: Wake Up Stand Up (Kai Alcé Remixes) (feat. Jill Rock Jones),The Lounge Lizards,2019-09-20,495931,10,0.851,0.0309,0.851,0.788,0.00225,0.0303,-7.251,0.0681,123.975,4
77,Ordinary World,90's Dance Fever,Various Artists,2020-03-20,263146,21,0.503,0.00492,0.503,0.969,0.00228,0.326,-6.306,0.0529,138.461,4
78,Confirmation,Confirmation/I Turned Away,Westerman,2018-03-28,209309,39,0.771,0.933,0.771,0.335,0.48,0.0629,-12.699,0.0388,121.987,4
79,Feels Like Heaven,Dedicated To Bobby Jameson,Ariel Pink,2017-09-15,196106,37,0.477,0.0479,0.477,0.847,8.6e-05,0.175,-3.862,0.0437,121.251,4
80,Missing You,Genesis,Larry Heard,1999-03-01,396543,39,0.562,0.015,0.562,0.561,0.000107,0.108,-13.072,0.0301,115.987,4
81,Life During Wartime - Live,Stop Making Sense,Talking Heads,1984,351333,45,0.613,0.0744,0.613,0.864,0.00763,0.986,-8.781,0.0565,138.047,4
82,Walking In Your Footsteps,Synchronicity (Remastered 2003),The Police,1983-06-17,216800,40,0.609,0.92,0.609,0.529,0.268,0.115,-14.71,0.0478,196.953,4
83,"Haven't You Heard - 12"" Version",Remind Me (The Classic Elektra Recordings 1978-1984),Patrice Rushen,2019-07-19,438199,4,0.894,0.0397,0.894,0.688,0.436,0.0588,-9.229,0.0602,127.553,4
84,Exotica Dance Club,World,Nu Genea,2015-08-07,327560,2,0.784,0.0935,0.784,0.801,0.83,0.325,-11.448,0.0643,117.999,4
85,Nights Over Egypt,Get as Much Love as You Can,The Jones Girls,1981,279800,52,0.752,0.499,0.752,0.36,0.291,0.106,-14.317,0.0334,110.768,4
86,Living,Is Reaching for the Sky! (All Original Versions),Various Artists,2018-07-27,418544,26,0.82,0.0437,0.82,0.71,0.155,0.25,-7.988,0.0428,124.815,4
87,Disco Baby - Floating Points & Red Greg Edit,Disco Baby,Y. Gershovsky,2017-07-28,229734,31,0.687,0.00297,0.687,0.568,0.355,0.132,-10.256,0.0694,127.031,4
88,Slave To The Rhythm - Hot Blooded Version,Private Life: The Compass Point Sessions,Grace Jones,1998-01-01,498840,0,0.578,0.0624,0.578,0.84,0.0585,0.366,-6.923,0.0372,97.096,4
89,I.G.Y.,The Nightfly,Donald Fagen,1982-10-29,363413,55,0.834,0.614,0.834,0.559,0.00434,0.0839,-9.366,0.0603,119.422,4
90,Don't Go Lose It Baby,Pure Sounds of Africa,Hugh Masekela,2015-04-24,413560,41,0.712,0.0848,0.712,0.95,4.62e-05,0.213,-4.28,0.0429,116.036,4
91,Black Man,Songs In The Key Of Life,Stevie Wonder,1976-09-28,509506,39,0.776,0.121,0.776,0.921,0.000145,0.0766,-9.791,0.063,109.502,4
92,Get It Right,Get It Right (Expanded Edition),Aretha Franklin,1983-07-14,375106,37,0.755,0.0226,0.755,0.702,0.0,0.0386,-8.539,0.157,122.338,4
93,Forget Me Nots,Straight From The Heart,Patrice Rushen,1982,275813,27,0.912,0.139,0.912,0.534,0.102,0.0387,-5.319,0.0366,114.681,4
94,Give Me the Night,The George Benson Collection,George Benson,1981,222626,63,0.85,0.314,0.85,0.466,0.0234,0.129,-15.673,0.0555,109.936,4
95,Pacific Dream,Backstreet Brit Funk Vol.2 compiled by Joey Negro,Joey Negro,2018-06-29,348000,0,0.619,0.101,0.619,0.795,1.37e-05,0.286,-7.286,0.144,118.607,4
96,Always Remember,The Cove,Sven Atterton,2015-03-24,259893,10,0.744,0.000161,0.744,0.732,0.798,0.0317,-6.438,0.0731,111.978,4
97,Midnight City,"Hurry Up, We're Dreaming",M83,2011,241440,71,0.526,0.0161,0.526,0.712,0.0,0.179,-6.525,0.0356,105.009,4
98,Love On A Real Train,Dream Sequence,Tangerine Dream,1985-01-01,236573,41,0.576,0.973,0.576,0.275,0.941,0.0651,-23.139,0.0458,111.324,4
99,Alright - Remastered,Travelling Without Moving (Remastered),Jamiroquai,1996-09-09,263920,52,0.815,0.174,0.815,0.875,0.048,0.136,-7.822,0.0598,105.805,4
100,Feel Good Inc.,Demon Days,Gorillaz,2005-05-23,222640,81,0.818,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,4
101,DX7 - Indastudio 10,Indastudio,Dabeull,2017-12-08,244762,55,0.902,0.445,0.902,0.586,0.002,0.0646,-7.658,0.0741,110.984,4
102,Time (You and I),Time (You and I),Khruangbin,2020-04-27,342189,47,0.751,0.00945,0.751,0.491,0.149,0.0708,-13.677,0.045,105.408,4
103,The Only Rhyme That Bites,The North At Its Heights (Expanded Edition),MC Tunes,1990-10-01,271333,28,0.56,0.00146,0.56,0.934,0.0,0.716,-5.856,0.186,62.663,4
104,Bass (How Low Can You Go) [Exended 1990 Version],"London Calling, Vol. 1",Various Artists,2013-10-23,320226,0,0.637,0.00515,0.637,0.976,0.0144,0.25,-10.687,0.0404,139.647,4
